ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
11,"The drone footage
#PeshawarJalsa https://t.co/LIjipU7l4u",siasatpk,,no,yes,PeshawarJalsa,,1.51434807988504E+018,2022-04-13 21:01:32+00:00,0,0,7068,2822,263,Information,neutral
12,Covering #PeshawarJalsa https://t.co/u6v3pcoiiR,AbdulqadirARY,,no,yes,PeshawarJalsa,,1.5142737034708E+018,2022-04-13 16:05:59+00:00,0,0,71016,13535,2533,Information,neutral
13,"Backside of the stage
#PeshawarJalsa 
@GFarooqi https://t.co/KLh6yrIkrt",siasatpk,,no,yes,PeshawarJalsa,GFarooqi,1.51432795026661E+018,2022-04-13 19:41:32+00:00,0,0,5113,2484,254,Information,neutral
14,"Word of the day: BLACKOUT! 

#PeshawarJalsa",Shiffa_ZY,,no,no,PeshawarJalsa,,1.51428494184815E+018,2022-04-13 16:50:38+00:00,0,0,18109,4920,626,Information,neutral
15,"We tried to put him down, but it only made him stronger...
#امپورٹڈ_حکومت_نامنظور 
#PeshawarJalsa https://t.co/InQwCI2YEv",Jhagra,,no,yes,امپورٹڈ_حکومت_نامنظور PeshawarJalsa,,1.51438262189099E+018,2022-04-13 23:18:47+00:00,0.5267,0.644444444444444,1765,1085,65,Information,positive
16,"People have the right to ask questions. 
Accountability &amp; transparency is what we are all demanding from the Rajapaksas and its only fair that we expect the same from the rest.
If you are annoyed by the questions, you are the problem.
#LKA #SriLanka #GoHomeGota #GoHomeRajapaksas",munza14,,no,no,LKA SriLanka GoHomeGota GoHomeRajapaksas,,1.51446513072926E+018,2022-04-14 04:46:39+00:00,-0.5994,0.672142857142857,272,41,13,Information,negative
17,"More signs - and demands - like this please.

#GotaGoGama #GoHomeGota #SriLanka https://t.co/I8lnz0xE0x https://t.co/J3BttwN6Kg",Thusi_Kumar,https://twitter.com/jdslanka/status/1514573001441828871,yes,yes,GotaGoGama GoHomeGota SriLanka,,1.51459407421242E+018,2022-04-14 13:19:01+00:00,0.628,0.5,76,21,1,Information,positive
18,A group representing soldiers disabled in the war joined the #GoHomeGota protest outside the Presidential Secretariat today. #srilanka #lka https://t.co/zKQmTq6vy4,Roarlk,,no,yes,GoHomeGota srilanka lka,,1.51425973778476E+018,2022-04-13 15:10:29+00:00,-0.7096,0.175,505,64,7,Information,negative
19,"Curious question:
Who is funding these?
Why are these necessary?
Do the protestors know where these are coming from?
Bakeries/people disturbing short eats is one thing, but I think this is getting weird now.
Let the Rajapaksas not have the last laugh.
#LKA #SriLanka #GoHomeGota https://t.co/0Nh4EYxoIg",munza14,https://twitter.com/LihiniFernando/status/1514250548551184385,yes,no,LKA SriLanka GoHomeGota,,1.51425926044361E+018,2022-04-13 15:08:35+00:00,0.598,0.609523809523809,379,38,85,Information,positive
20,"I don't know who created the #GoHomeGota website, but I'm disappointed that they actually used a quote from Kumar Sangakkara when there were many others like Roshan Mahanama who came forward way before him and had the guts to side with the people and call a spade a spade. https://t.co/o3TztyvidL",munza14,,no,yes,GoHomeGota,,1.51425379279913E+018,2022-04-13 14:46:52+00:00,-0.3116,0.45,601,40,55,Information,neutral
21,'Abolish Executive Presidency' #GotaGoGama #SriLanka #GoHomeGota #GotaGoHome #GoHomeGota2022 #ProtestLK #EconomicCrisisLK #lka https://t.co/8uAabhQFpm,vikalpavoices,,no,yes,GotaGoGama SriLanka GoHomeGota GotaGoHome GoHomeGota2022 ProtestLK EconomicCrisisLK lka,,1.51485456372743E+018,2022-04-15 06:34:07+00:00,0,0,8,7,1,Information,neutral
22,"100s of pro-GR or pro-MR FB Pages producing posts like this, instigating hate, unrest &amp; corrupting protest narrative. #GoHomeGota protests framed &amp; dismissed as a project by TNA, NPP or JVP. Gotabaya is still projected as saviour. Rajapaksas doing what Rajapaksas do. #SriLanka https://t.co/GXab07roRp",sanjanah,,no,yes,GoHomeGota SriLanka,,1.51396566935153E+018,2022-04-12 19:41:58+00:00,-0.6249,0.9,177,74,14,Information,negative
23,"No matter what some attempt to say, the message from the public today was very clear and loud. They want a change. Not a cosmetic change. But real change 
#Srilanka #lka #GotaGoHome #GoHomeGota #GoHomeRajapaksas #CrisisLK #EconomicCrisisLK https://t.co/CxEoJ3uMgf",easwaranrutnam,,no,yes,Srilanka lka GotaGoHome GoHomeGota GoHomeRajapaksas CrisisLK EconomicCrisisLK,,1.51276937974574E+018,2022-04-09 12:28:20+00:00,0.2639,0.41625,774,153,18,Information,neutral
24,"🇱🇰🪧 07.00 PM - What. A. Crowd 

#lka #SriLankaProtests #SriLankaEconomicCrisis https://t.co/PfhNvVeoox",AthaudaDasuni,,no,yes,lka SriLankaProtests SriLankaEconomicCrisis,,1.51460500187187E+018,2022-04-14 14:02:27+00:00,0,0,1003,178,16,Information,neutral
25,"So @flysrilankan has issued a statement; confirmed going ahead w leasing 21 aircraft towards a fleet of 35 by 2025. This is certainly not priority during #SriLankaEconomicCrisis. People need fuel, gas, cancer drugs, milk powder not aircraft @GotabayaR wake up at least now. https://t.co/lNkaXLTKvN",HarshadeSilvaMP,,no,yes,SriLankaEconomicCrisis,flysrilankan GotabayaR,1.51465275148509E+018,2022-04-14 17:12:11+00:00,-0.4588,0.657142857142857,824,197,96,Information,negative
26,"#SriLanka: That's what the entrance to the Presidential Secretariat in Colombo looks like right now. It's Sinhala-Tamil New Year today, usually one of Colombo's emptiest, quietest days as the country shuts down to celebrate
#SriLankaEconomicCrisis 
#lka @the_hindu https://t.co/7yAQR6SeNl",Meerasrini,,no,yes,SriLanka SriLankaEconomicCrisis lka,the_hindu,1.5146515593296E+018,2022-04-14 17:07:27+00:00,0.5267,0.382287157287157,443,101,4,Information,positive
27,"🇱🇰🪧: 9.00 PM - Easily one of the biggest turnouts for a protest in recent history. 

Day 06 of #SriLankaProtests at #OccupyGalleFace draws to a close, it is clear that the people of #SriLanka  do not want to back down. 

#lka #SriLankaEconomicCrisis https://t.co/P4YH1QGGQ5",AthaudaDasuni,,no,yes,SriLankaProtests OccupyGalleFace SriLanka lka SriLankaEconomicCrisis,,1.51464793971236E+018,2022-04-14 16:53:04+00:00,0.4172,0.351111111111111,747,115,9,Information,positive
28,"🇱🇰🪧 06.15 PM: On one of Sri Lanka’s most prominent public holidays - The Sinhala and Tamil New Year, thousands of protesters continue their cause for #SriLankaProtests against #SriLankaEconomicCrisis 

#lka #SriLanka https://t.co/gIIrfMMFiE",AthaudaDasuni,,no,yes,SriLankaProtests SriLankaEconomicCrisis lka SriLanka,,1.51458783260144E+018,2022-04-14 12:54:13+00:00,0.5509,0.50530303030303,483,79,7,Information,positive
29,"End the Queues Mr. President @GotabayaR. It's been too long!

Queues in some areas for fuel 👇

#SriLankaEconomicCrisis #SriLanka https://t.co/pv6dfMK0Wg",Jamz5251,,no,yes,SriLankaEconomicCrisis SriLanka,GotabayaR,1.51454204113639E+018,2022-04-14 09:52:16+00:00,0,0.4,567,97,41,Information,neutral
30,"#SriLanka: 'Occupy Galle Face' - huge crowds on the eve of Sinhala/Tamil New Year Day, usually one of the quietest times of the year in Colombo
#SriLankaEconomicCrisis 
#SriLankaCrisis https://t.co/wkZ8HaeZXE",Meerasrini,,no,yes,SriLanka SriLankaEconomicCrisis SriLankaCrisis,,1.51427324424883E+018,2022-04-13 16:04:09+00:00,0.3182,0.534848484848485,270,81,5,Information,neutral
31,"#SriLankaEconomicCrisis | Large crowds gather at Galle Face in Colombo, showcasing their agitation against the government https://t.co/N9Qkim42qp",ANI,,no,yes,SriLankaEconomicCrisis,,1.51467424606024E+018,2022-04-14 18:37:36+00:00,-0.25,0.428571428571429,226,29,8,Information,neutral
32,"#JustIn - The CPC has imposed limitations on pumping fuel for light vehicles with immediate effect. 

Bike 1000/=
Three wheelers 1500/=
Cars/ Vans/ Jeeps 5000/=

No limitations on heavy vehicles such as busses and lorries. 

#SriLankaEconomicCrisis #SriLanka",Jamz5251,,no,no,JustIn SriLankaEconomicCrisis SriLanka,,1.51487220441187E+018,2022-04-15 07:44:13+00:00,-0.3612,0.566666666666667,105,25,10,Information,negative
33,"More fuel arrives... 

41,000 metric tonnes of diesel arrived last evening and is presently being unloaded.

37,500 metric tonnes of petrol will arrive today. 

#SriLankaCrisis #SriLankaEconomicCrisis",Jamz5251,,no,no,SriLankaCrisis SriLankaEconomicCrisis,,1.51489264042826E+018,2022-04-15 09:05:25+00:00,0,0.188888888888889,190,21,23,Information,neutral
34,Mr Chairman @flysrilankan we are waiting for your response. Is this tender official? If so you better discuss w @GotabayaR advisors on @IMFNews negotiations and cancel this. Is your board living in some parallel universe not to understand the reality of #SriLankaEconomicCrisis,HarshadeSilvaMP,,no,no,SriLankaEconomicCrisis,flysrilankan GotabayaR IMFNews,1.51459037097749E+018,2022-04-14 13:04:18+00:00,0.2911,0.25,408,41,22,Information,neutral
35,"#SriLanka: Banner headline of protests in #lka 
#SriLankaEconomicCrisis 
#SriLankaProtests 
#SriLankaCrisis https://t.co/UHNNDHzGjg",Meerasrini,,no,yes,SriLanka lka SriLankaEconomicCrisis SriLankaProtests SriLankaCrisis,,1.5146534131323E+018,2022-04-14 17:14:49+00:00,-0.2263,0,85,20,1,Information,neutral
36,"Want to thank all those who came to our jalsa in Peshawar making it a mammoth &amp; historic jalsa. The passion &amp; commitment crowd showed in support of an indep sovereign Pak &amp; their total rejection of US-initiated regime change bringing to power criminals, shows where nation stands.",ImranKhanPTI,,no,no,,,1.51455454643707E+018,2022-04-14 10:41:57+00:00,0.3832,0.375,120537,30189,8539,Information,positive
37,Chairman PTI @ImranKhanPTI at the historic Peshawar Jalsa. Thank you Peshawar! #امپورٹڈ_حکومت_نامنظور https://t.co/bRcVx8xlz9,PTIofficial,,no,yes,امپورٹڈ_حکومت_نامنظور,ImranKhanPTI,1.51433191305348E+018,2022-04-13 19:57:17+00:00,0.4199,0,64860,30349,4881,Information,positive
38,"A mammoth jalsa in Peshawar. The whole nation is speaking out like never before. Whoever thinks he can defeat this is a fool. #PTI

#امپورٹڈ_حکومت_نامنظور https://t.co/LUEq02z59s",Hammad_Azhar,,no,yes,PTI امپورٹڈ_حکومت_نامنظور,,1.51432198129831E+018,2022-04-13 19:17:49+00:00,-0.5267,0.4,36428,21611,2325,Information,negative
39,"The National Anthem of our Pakistan at the historic Peshawar Jalsa yesterday. 🇵🇰
#امپورٹڈ_حکومت_نامنظور https://t.co/RQN2tBImnN",PTIofficial,,no,yes,امپورٹڈ_حکومت_نامنظور,,1.51449111301235E+018,2022-04-14 06:29:53+00:00,0,0,10424,5962,553,Information,neutral
40,"Incredible scenes at Peshawar Jalsa. It goes on to tell that Pakistanis will not stop until Fresh Elections are called as we have totally rejected the Imported Government! #امپورٹڈ_حکومت_نامنظور
https://t.co/HxS4A2c7WU",PTIofficial,https://twitter.com/1MalikWajidPTI/status/1514336625525895168/video/1,yes,no,امپورٹڈ_حکومت_نامنظور,,1.51441517835546E+018,2022-04-14 01:28:09+00:00,-0.6071,0.716666666666667,7056,4401,428,Information,negative
41,Thank u ARY for not succumbing to #CrimeMinister SS's pressure &amp money lures and standing with the people of Pak by giving full coverage to Peshawar jalsa &amp the voice of the people! #امپورٹڈ_حکومت_نامنظور ,ShireenMazari1,,no,no,CrimeMinister امپورٹڈ_حکومت_نامنظور,,1.51432905888402E+018,2022-04-13 19:45:57+00:00,0.4574,0.55,18044,7673,374,Information,positive
42,"I said the other day that they can &amp; will rig the elections, but they cant rig a landslide

Mammoth jalsa in Peshawar validates this. Even after near total coverage blackout, Imran Khan's message is not only reaching the masses but also resonating with them #امپورٹڈ_حکومت_نامنظور https://t.co/OFuInKLNq8",BhittaniKhannnn,,no,yes,امپورٹڈ_حکومت_نامنظور,,1.51447494056475E+018,2022-04-14 05:25:38+00:00,0.3647,0.63125,3387,2286,96,Information,positive
43,"Peshawar Jalsa is huge, accept that!!",SaadiaAfzaal,,no,no,,,1.51430526045346E+018,2022-04-13 18:11:23+00:00,0.6688,0.9,55856,10484,2026,Information,positive
44,"Amazing Moments from Peshawar Jalsa #ImranKhan
#امپورٹڈ_حکومت_نامنظور https://t.co/1EKqiT1jF6",FaisalJavedKhan,,no,yes,ImranKhan امپورٹڈ_حکومت_نامنظور,,1.51436529320782E+018,2022-04-13 22:09:56+00:00,0.5859,0.9,6827,3726,411,Information,positive
45,What a jalsa in Peshawar! Phenomenal! This is the start --- we will not accept a #CrimeMinister brought into power thru a US-engineered regime change backed by dark shadows of local abettors. Elections are the only solution - let the ppl decide #امپورٹڈ_حکومت_نامنظور https://t.co/sBhUBGEJcH,ShireenMazari1,,no,yes,CrimeMinister امپورٹڈ_حکومت_نامنظور,,1.51446946807162E+018,2022-04-14 05:03:53+00:00,0.2023,0.475,3239,2226,155,Information,neutral
46,"Hailing from Peshawar, I must say that this Jalsa is Historic. By all means!!! 

#PeshawarJalsa",Shiffa_ZY,,no,no,PeshawarJalsa,,1.51431625121606E+018,2022-04-13 18:55:03+00:00,0,0,28546,6707,865,Information,neutral
47,"Amid #SriLanka's worst economic crisis in decades, Sri Lankans celebrate the Sinhala-Tamil new year as they protest against Gotabaya Rajapaksa, an incompetent and allegedly corrupt President. Take a look:
https://t.co/JY0xVzK7V9",steve_hanke,,no,yes,SriLanka,,1.51477790288941E+018,2022-04-15 01:29:29+00:00,-0.8625,0.604242424242424,91,24,3,Misinformation,negative
48,"Former cricketer Dhammika Prasad has launched a 24 hour hunger strike at #GalleFaceProtest site, from today morning, urging the leaders for justice for the Easter attack victims &amp; to end the current economic crisis, @Dailymirror_SL reports. 

#SriLankaEconomicCrisis #SriLanka https://t.co/iULJTA4HD8",Jamz5251,,no,yes,GalleFaceProtest SriLankaEconomicCrisis SriLanka,Dailymirror_SL,1.51482726282619E+018,2022-04-15 04:45:38+00:00,-0.7964,0.2,272,29,5,Misinformation,negative
49,"Sri Lanka needs between $3 billion to $4 billion this year to pull itself out of an unprecedented economic crisis - Bloomberg
https://t.co/xxDHcFna2I #LKA #SriLanka #SriLankaCrisis @news_cutter",SriLankaTweet,https://newscutter.lk/sri-lanka-news/sri-lanka-needs-4-billion-14042022-31264,yes,no,LKA SriLanka SriLankaCrisis,news_cutter,1.51447746947018E+018,2022-04-14 05:35:41+00:00,-0.6249,0.55,115,16,3,Information,negative
50,"Sri Lanka suffers its worst ever economic crisis, waves of protests and mass uprisings have sent shock waves through the government and thrown the country into a deep political crisis -@uniworldnews
#OccupyGalleFace #LKA #SriLanka #SriLankaCrisis",SriLankaTweet,,no,no,OccupyGalleFace LKA SriLanka SriLankaCrisis,uniworldnews,1.51495398254406E+018,2022-04-15 13:09:10+00:00,-0.9633,0.48,61,17,0,Misinformation,negative
51,"Watch as protests take place in Colombo, #SriLanka. As LKA faces its worst economic crisis in decades, protesters were demanding President Rajapaksa's resignation. Incompetent and allegedly corrupt, Rajapaksa must go.
https://t.co/PQYTyIflqt",steve_hanke,,no,yes,SriLanka,,1.5147778081191E+018,2022-04-15 01:29:07+00:00,-0.9531,0.641666666666667,53,14,4,Misinformation,negative
52,"Many Indians including some experts are amused at the economic crisis in #SriLanka and #Pakistan. But they forget that in #India too, #NationalDebt  at 91% of GDP is now higher than Pakistan &amp; interest burden on taxes is growing. Not good signs for the economy
#Indianeconomy https://t.co/Ja06vCQ4Wq",KantKrishna30,,no,yes,SriLanka Pakistan India NationalDebt Indianeconomy,,1.51419203304014E+018,2022-04-13 10:41:27+00:00,-0.6006,0.45,328,104,370,Information,negative
53,"Despite ongoing economic crisis in #SriLanka, Vijay-starrer #Beast has released in Colombo. The fans were excited to watch the film in theaters despite protests and political instability in the country.

#BeastMovie #SriLankaEconomicCrisis #BeastFDFS
https://t.co/mo2KHGl2Pl",dt_next,https://beta.dtnext.in/cinema/2022/04/13/beastmodeon-in-sri-lanka-amid-economic-crisis-ticket-ranges-from-rs-850-to-rs-3000,yes,no,SriLanka Beast BeastMovie SriLankaEconomicCrisis BeastFDFS,,1.51414931826527E+018,2022-04-13 07:51:43+00:00,0.7476,0.35,404,203,0,Information,positive
54,Srilanka Cricket claims T20 Asia Cup 2022 will be played from 27August to 11September in Srilanka despite severe economic crisis in the country. Pakistan will tour SriLanka in July/August to play two Tests and three ODI's.,ArfaSays_,,no,no,,,1.51415243168851E+018,2022-04-13 08:04:05+00:00,0.8511,0.2,1787,84,4,Misinformation,positive
55,"#LeadStoryOnET | The ongoing economic crisis in #SriLanka will impact earnings and profits of Indian companies with direct operations in the island nation amid the huge devaluation of the local currency
https://t.co/pzGQpGoghm",EconomicTimes,https://economictimes.indiatimes.com/news/company/corporate-trends/news-from-the-island-isnt-very-good-for-many-indian-entities/articleshow/90853944.cms,yes,no,LeadStoryOnET SriLanka,,1.51482584490401E+018,2022-04-15 04:40:00+00:00,0.0258,0.375,8,4,1,Information,neutral
56,"#SriLanka has defaulted on its foreign debt obligations. 

Earlier a state of emergency was declared in the country amid mass anti-government protests caused by the political and economic crisis. https://t.co/o8z8Ln1lt1",nexta_tv,,no,yes,SriLanka,,1.51377405975823E+018,2022-04-12 07:00:35+00:00,-0.8779,0.23125,622,90,15,Misinformation,negative
57,"Youths from across Sri Lanka gather in Colombo today to create another shock wave through the government as Sri Lankans suffer its worst ever economic crisis. Security tightened in Colombo - @uniworldnews
#LKA #SriLanka #SriLankaCrisis #EconomicCrisisLK #Traffic #GalleFace",SriLankaTweet,,no,no,LKA SriLanka SriLankaCrisis EconomicCrisisLK Traffic GalleFace,uniworldnews,1.5126475437503E+018,2022-04-09 04:24:12+00:00,-0.8957,0.6,518,110,11,Misinformation,negative
58,"#SriLanka: Doctors warned they are almost out of life-saving medicines as the country’s economic crisis threatened a worse death toll than Coronavirus pandemic. Sri Lanka Medical Association says all hospitals in country no longer had access to imported medical tools, vital drugs",airnewsalerts,,no,no,SriLanka,,1.51382070857685E+018,2022-04-12 10:05:57+00:00,-0.9451,0.24,124,22,3,Misinformation,negative
59,"Massive protests planned across #SriLanka amid worsening economic crisis 

NDTV's Sreeja MS reports from Galle Face, #Colombo https://t.co/IyyN9ulKkT",ndtv,,no,yes,SriLanka Colombo,,1.51278841961678E+018,2022-04-09 13:44:00+00:00,-0.8402,0.6,143,31,7,Misinformation,negative
60,".@UN_SPExperts urge the #SriLanka 🇱🇰 Government to guarantee the fundamental rights of peaceful assembly and expression, amid the country’s severe economic crisis. “Peaceful protests and voices of legitimate dissent should not be met with unnecessary and excessive use of force."" https://t.co/t86w6nJUmW",UNGeneva,,no,yes,SriLanka,UN_SPExperts,1.51242282984064E+018,2022-04-08 13:31:16+00:00,-0.5267,0.62,71,38,11,Information,negative
