,ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
10,11,"Why Dalit vote is shifting from Congress in this time? Watch Congress leader K Raju's conversation with India Today Correspondent in this Exclusive #ReporterDiary

#VoteBank #Politics #Congress

(@Supriya23bh) https://t.co/DPi3WU3y56",IndiaToday,,no,yes,ReporterDiary VoteBank Politics Congress,Supriya23bh,1.51275532571131e+18,2022-04-09 11:32:29+00:00,0.1593,0.0,131,31,2,Information,neutral
11,12,"BJP is doing Institutional capture in India. Modi is doing it with the help of RSS: Congress MP @manickamtagore

#RSS #Politics #ReporterDiary

(@Supriya23bh) https://t.co/yLAlYxIj0r",IndiaToday,,no,yes,RSS Politics ReporterDiary,manickamtagore Supriya23bh,1.51275449743691e+18,2022-04-09 11:29:12+00:00,0.4019,0.0,155,26,7,Information,positive
12,13,"At least by now, #Delhi's #Gujarat and #Karnataka focussed #BJP #government and the #Security establishment would have woken up to the #securitybreach.
Action is needed now. This will get worse. #Politics is not everything. #India should matter once in a very long while.",RKRadhakrishn,,no,no,Delhi Gujarat Karnataka BJP government Security securitybreach Politics India,,1.51301999570542e+18,2022-04-10 05:04:12+00:00,-0.1531,0.405,283,33,3,Information,neutral
13,14,Cannabis Decriminalization Deserves President Joe Biden's Support #decriminalization #law #JoeBiden #Politics #Prohibition #Possession https://t.co/01dDsXM8iB https://t.co/085ijv4Ujr,CannabisCulture,https://bit.ly/373X2Hw,yes,yes,decriminalization law JoeBiden Politics Prohibition Possession,,1.5133268220371e+18,2022-04-11 01:23:25+00:00,0.4019,0.0,89,19,8,Information,positive
14,15,"Hindu nationalist violence in India against religious minorities -- much of it state-sponsored -- is the most important news story in India right now.

This matters a lot for those in the US too, and here's some reasons why.

https://t.co/iDSmj9Z4VI #Hindutva #BJP #Modi #violence",AudreyTruschke,https://thewire.in/communalism/madhya-pradesh-khargone-ram-navami-muslims,yes,no,Hindutva BJP Modi violence,,1.51458602502008e+18,2022-04-14 12:47:02+00:00,-0.7895,0.497142857142857,424,228,1,Misinformation,negative
15,16,"So, what can those of us abroad (i.e., not in India) do about rising Hindu nationalist violence in India, some of it state-sponsored?

Learn about it.
Talk about it.
Criticize it.

#Hindutva #Hindunationalism #BJP #Modi #violence #religiousfreedom #India",AudreyTruschke,,no,no,Hindutva Hindunationalism BJP Modi violence religiousfreedom India,,1.51459158752701e+18,2022-04-14 13:09:08+00:00,-0.8957,0.0,105,44,0,Misinformation,negative
16,17,"On 6 Apr 2022, #Modi govt admitted in #Parliament that 161 workers had died cleaning #sewers over 3 yrs. 9 month earlier, govt said there were no ‘manual scavenging’ deaths, a practice made illegal 29 yrs ago. @AlizaNoor1501 reports

https://t.co/TO4speAzm2",Article14live,https://article-14.com/post/-when-will-papa-come-back-family-ambition-the-death-of-2-young-dalits-in-a-lucknow-sewer-6255e0424813a,yes,no,Modi Parliament sewers,AlizaNoor1501,1.51425634253755e+18,2022-04-13 14:57:00+00:00,-0.8402,0.5,26,17,0,Misinformation,negative
17,18,"Big boost of #Modi govt's policy - Global appreciation of #khadi’s popularity! 

📢US fashion brand #Patagonia places repeat order for khadi denim fabric.

https://t.co/f46mc4Rjz6",ZeeBusiness,https://www.zeebiz.com/small-business/news-big-boost-of-modi-govts-policy-global-appreciation-of-khadi-s-popularity-us-fashion-brand-patagonia-places-repeat-order-for-khadi-denim-fabric-182859,yes,no,Modi khadi Patagonia,,1.51490477210062e+18,2022-04-15 09:53:37+00:00,0.8553,0.05,14,4,0,Misinformation,positive
18,19,"The world’s biggest #democracy under #Modi and his ultranationalist #Hindutva followers literally get away with arson, torture and murder after inciting against Muslims and other minorities on a daily basis. This must stop and they must be be held accountable before it worsens. https://t.co/1CDEVV99u1",Moazzam_Begg,https://twitter.com/javerias/status/1510893069369221124,yes,no,democracy Modi Hindutva,,1.51200445161951e+18,2022-04-07 09:48:47+00:00,-0.9313,0.1875,364,198,12,Misinformation,negative
19,20,"#Modi govt building resilience for the future.
Distribution of free ration by Hon’ble PM @narendramodi ji  empowered them to use their time &amp; energy toward building a bright future. https://t.co/9TQ1qfAd9t",pm_saiprasad,,no,yes,Modi,narendramodi,1.51208611401783e+18,2022-04-07 15:13:17+00:00,0.8074,0.4625,222,192,1,Misinformation,positive
20,21,#Indian Prime Minister Narendra #Modi said that he offered #Moscow direct talks between #Putin and #Zelenskyy. https://t.co/V7LC9YCb22,nexta_tv,,no,yes,Indian Modi Moscow Putin Zelenskyy,,1.51354463159362e+18,2022-04-11 15:48:55+00:00,0.0,0.4,1127,132,149,Information,neutral
21,22,"#Vajpayee’s speeches before Nellie &amp; Babri were provocative but couched in poetry &amp; long pauses. He drifted from hard right to centre-right as PM, recognising that India cannot be governed from the extremes. Is PM #Modi the new Vajpayee? My ⁦@DainikBhaskar⁩ op-ed https://t.co/DXPggHDcvP",MinhazMerchant,,no,yes,Vajpayee Modi,DainikBhaskar,1.51410569436615e+18,2022-04-13 04:58:22+00:00,-0.1531,0.482981601731602,32,15,4,Information,neutral
22,23,"The silence of PM #Modi in face of incidents of violence during #RamNavami procession in 4 states is an “eloquent testimony” that forces those behind these incidents to enjoy official patronage, @SitaramYechury said in an interview to @SobhanaNair  
https://t.co/RxzJwvQT08",the_hindu,https://trib.al/avVJ86C,yes,no,Modi RamNavami,SitaramYechury SobhanaNair,1.5140759383422e+18,2022-04-13 03:00:08+00:00,-0.2263,0.6,121,23,25,Information,neutral
23,24,"After consultation with the central government, Bharat Biotech has decided to revise the price of #COVAXIN from Rs 1200 to Rs 225 per dose for private hospitals.

Thank you #Modi Ji.

@narendramodi
#ModiHaitoMumkinHai",SharmaKhemchand,,no,no,COVAXIN Modi ModiHaitoMumkinHai,narendramodi,1.5127800943386e+18,2022-04-09 13:10:55+00:00,0.3612,0.3125,26,16,0,Information,positive
24,25,"4 more #SriLankan #Tamil #refugees have arrived here from #SriLanka. They were dropped, (and hence, stranded)
at Thambibadu area of Dhanushkodi, Ramnad district.
If #Modi #government doesn't allow  #Stalin #government to send relief to Tamils, expect an exodus of refugees.",RKRadhakrishn,,no,no,SriLankan Tamil refugees SriLanka Modi government Stalin government,,1.5122560004216e+18,2022-04-08 02:28:21+00:00,0.3472,0.5,199,33,8,Information,positive
25,26,"#Ambedkar - founder of Constitution
#RahulGandhi - protector of Constitution https://t.co/x2h55irOqp",VamsiChandReddy,,no,yes,Ambedkar RahulGandhi,,1.5127152368179e+18,2022-04-09 08:53:12+00:00,0.0,0.0,955,187,81,Information,neutral
26,27,"Remember that #RahulGandhi told the US ambassador after the 26/11 Mumbai attacks that RSS and Hindus were the threat, not Lashkar-e-Taiba. 

He's been singing the Pakistan tune for a long time. His positions are identical to ISI's. https://t.co/J8LWEZjwjw",sankrant,https://twitter.com/gops33/status/1512769439543955460,yes,no,RahulGandhi,,1.51280180668622e+18,2022-04-09 14:37:11+00:00,-0.743,0.4,428,166,13,Information,negative
27,28,"There is no relevance of Constitution without institutions.
Today, all institutions are in the hands of RSS. 
- Shri #RahulGandhi https://t.co/XZFMIBH4iW",VamsiChandReddy,,no,yes,RahulGandhi,,1.51268654195232e+18,2022-04-09 06:59:10+00:00,-0.296,0.0,325,88,10,Information,neutral
28,29,"""Shri #RahulGandhi should takeover as the President of #Congress Party.""
- Shri @SharadYadavMP https://t.co/cHOaoQTbNH",VamsiChandReddy,,no,yes,RahulGandhi Congress,SharadYadavMP,1.51242489029646e+18,2022-04-08 13:39:27+00:00,0.4019,0.0,624,110,21,Information,positive
29,30,Congress Leader Shri #RahulGandhi  ji pays tribute to the Baba Saheb Ambedkar ji during book launch ceremony The Dalit Truth by National Co ordinator #KRajuINC in New Delhi. https://t.co/mrOG1MC1Cf,TNCCMinority,,no,yes,RahulGandhi KRajuINC,,1.51270861178052e+18,2022-04-09 08:26:52+00:00,0.3182,0.454545454545455,244,39,5,Information,neutral
30,31,"""I was born in Power but have no love for power, while some politicians think about it day and night."" - Rahul Gandhi

#RahulGandhi
https://t.co/fzQmxj5yhv",shaminaaaa,,no,yes,RahulGandhi,,1.51273222841699e+18,2022-04-09 10:00:43+00:00,-0.6759,0.6,202,38,40,Information,negative
31,32,"See the Wikileaks expose on what #RahulGandhi said to the US ambassador:

https://t.co/bZlHHSktLq",sankrant,https://sankrant.org/2014/03/nsa-surveillance-of-bjp-is-rahul-gandhi-to-blame/,yes,no,RahulGandhi,,1.51280229551978e+18,2022-04-09 14:39:08+00:00,-0.1531,0.0,102,49,1,Information,neutral
32,33,"Former #Congress chief #RahulGandhi said that the party had approached Bahujan Samajwadi Party (#BSP) supremo #Mayawati for an alliance ahead of the assembly elections in #UttarPradesh &amp; offered her the CM’s post, but she did not respond

Full story - https://t.co/BJ33xhKKFF https://t.co/PbiQwRWppc",htTweets,https://bit.ly/3O1ZtL5,yes,yes,Congress RahulGandhi BSP Mayawati UttarPradesh,,1.51274444582516e+18,2022-04-09 10:49:15+00:00,0.5647,0.275,246,32,51,Information,positive
33,34,"Had this been BJP ruled State,all hell would have broken loose,but since #KarauliRiots happened in Rajasthan,look at the stone deaf silence from #RahulGandhi

Addnl DG Crime,Rajasthan Police says-""Samajhiye,Matloob Ahmed Ek Councillor Hain""

#Matloob,btw,is prime accused &amp;missing https://t.co/DTBLXqoLbC",Sanju_Verma_,https://twitter.com/TimesNow/status/1512390175715901441,yes,no,KarauliRiots RahulGandhi Matloob,,1.51239640385889e+18,2022-04-08 11:46:16+00:00,-0.872,0.4,44,23,7,Misinformation,negative
34,35,"#7YearsOfPMMY is a landmark movement as #MudraYojana is about empowering non corporate non farm,micro enterprises &amp;changing India from economy of job seekers,to one of job creators

#RahulGandhi&amp;Co keep accusing @narendramodi govt of favouring big corporates,which is pure hogwash https://t.co/9nx65KTUZz",Sanju_Verma_,,no,yes,7YearsOfPMMY MudraYojana RahulGandhi,narendramodi,1.5123707534251e+18,2022-04-08 10:04:20+00:00,0.2263,0.2,39,16,2,Information,neutral
35,36,Former #Congress president #RahulGandhi will release a book titled 'The Dalit Truth: The battles for realizing #Ambedkar’s vision' on Saturday in #NewDelhi https://t.co/NZ4IAK6xbG,NH_India,https://www.nationalheraldindia.com/india/rahul-gandhi-to-release-book-on-ambedkar-tomorrow,yes,no,Congress RahulGandhi Ambedkar NewDelhi,,1.51238719759648e+18,2022-04-08 11:09:41+00:00,0.1779,0.0,40,26,0,Information,neutral
36,37,"Politicians (even opponents) discuss many things behind closed doors / curtains. Modi meets several Opposition leaders in private. But, disclosing the exchanges later to the public is a sign of immaturity and breach of confidence. #RahulGandhi  https://t.co/bcnITSxlzL",SandipGhose,https://timesofindia.indiatimes.com/india/mayawati-didnt-react-to-cm-face-offer-for-fear-of-cbi-ed-rahul-gandhi/articleshow/90753506.cms,yes,no,RahulGandhi,,1.51296605242644e+18,2022-04-10 01:29:51+00:00,0.6652,0.248809523809524,117,30,10,Information,positive
37,38,"So, “divide and conquer” is the new mantra? The climate in Delhi is becoming too hot in more senses than one. But, usually these foreign outings are followed by some fireworks at home. So, let’s wait for the fun and games in June 😀 #RahulGandhi #PriyankaGandhi https://t.co/DBn8i0MmU3",SandipGhose,https://twitter.com/indiatoday/status/1512719808038838283,yes,no,RahulGandhi PriyankaGandhi,,1.5127392470521e+18,2022-04-09 10:28:36+00:00,0.8271,0.461363636363636,67,19,3,Misinformation,positive
38,39,"Old habit of Rahul Gandhi to blame BJP, PM Modi, RSS: Gaurav Bhatia

Read @ANI Story | https://t.co/cTEt6Yxdvr
#RahulGandhi #PMModi https://t.co/YlnDIw1q8A",ani_digital,https://aninews.in/news/national/general-news/old-habit-of-rahul-gandhi-to-blame-bjp-pm-modi-rss-gaurav-bhatia20220409200241/,yes,yes,RahulGandhi PMModi,ANI,1.51280429026788e+18,2022-04-09 14:47:04+00:00,-0.34,0.2,391,38,12,Information,negative
39,40,What truth is you are talking about #RahulGandhi?? You yourself need to learn alot of facts about India first. https://t.co/UOzRNGbto5,vaibhavpawarmp,https://twitter.com/Tejasvi_Surya/status/1512584313371389955,yes,no,RahulGandhi,,1.51275165876096e+18,2022-04-09 11:17:55+00:00,0.3939,0.333333333333333,43,15,0,Information,positive
40,41,"Hindu nationalist violence in India against religious minorities -- much of it state-sponsored -- is the most important news story in India right now.

This matters a lot for those in the US too, and here's some reasons why.

https://t.co/iDSmj9Z4VI #Hindutva #BJP #Modi #violence",AudreyTruschke,https://thewire.in/communalism/madhya-pradesh-khargone-ram-navami-muslims,yes,no,Hindutva BJP Modi violence,,1.51458602502008e+18,2022-04-14 12:47:02+00:00,-0.7895,0.497142857142857,425,228,1,Misinformation,negative
41,42,"Recently, #BJP leader @me_locket has conducted lottery for admission to Bandel Kendriya Vidyalaya through her MP quota at a local @BJP4Bengal party office. I strongly condemn such blatant politicisation of education by @BJP4India.

https://t.co/LtfPM3jIcS",TrinankurWBTMCP,https://zeenews.india.com/bengali/state/kendriya-vidyalaya-admission-lottery-in-bjp-party-office-in-hooghly-chinsurah_428183.html,yes,no,BJP,me_locket BJP4Bengal BJP4India,1.51455192506432e+18,2022-04-14 10:31:32+00:00,0.296,0.396666666666667,128,88,13,Information,neutral
42,43,"SENA MP RAUT QUESTIONS JUDICIAL SYSTEM
#ShivSena MP @rautsanjay61 has questioned the judiciary over favouring the #BJP after bail was granted to @KiritSomaiya in the INS Vikrant funding case. @awasthiabhi11 reports. https://t.co/Ab2dF9h0km",MirrorNow,,no,yes,ShivSena BJP,rautsanjay61 KiritSomaiya awasthiabhi11,1.51446898930865e+18,2022-04-14 05:01:59+00:00,0.4404,0.0,308,116,74,Information,positive
43,44,"Uttar Pradesh: Muslim cleric asks minority community to drop anti-BJP tag

Read @ANI Story | https://t.co/f8M3QgeeEv
#UttarPradesh #BJP https://t.co/pSk8XCwXer",ani_digital,https://www.aninews.in/news/national/politics/uttar-pradesh-muslim-cleric-asks-minority-community-to-drop-anti-bjp-tag20220414113220/,yes,yes,UttarPradesh BJP,ANI,1.51449031309593e+18,2022-04-14 06:26:43+00:00,-0.2732,0.0,345,29,18,Information,neutral
44,45,"#AajKiBaat | Hindu residents fleeing Muslim localities in Khargone, MP, after communal violence

#KhargoneViolence #MP #KhargoneRiot #BJP https://t.co/Y00Sx2tHGB",indiatvnews,,no,yes,AajKiBaat KhargoneViolence MP KhargoneRiot BJP,,1.51427837112316e+18,2022-04-13 16:24:32+00:00,-0.6249,0.0,96,57,14,Information,negative
45,46,Warm Birthday Greetings to #RockStar #BJP Home Minister of Madhya Pradesh Shri.@drnarottammisra ! https://t.co/u2xkpKGnkJ,SuryahSG,,no,yes,RockStar BJP,drnarottammisra,1.51481826213084e+18,2022-04-15 04:09:52+00:00,0.6114,0.6,280,31,9,Information,positive
46,47,"DH Speak Out |

#MohanBhagwat #RSS #AkhandBharat #BJP #DHSpeakOut #DeccanHerald #RSSChief @DrMohanBhagwat https://t.co/Mer2M7xoNN",DeccanHerald,,no,yes,MohanBhagwat RSS AkhandBharat BJP DHSpeakOut DeccanHerald RSSChief,DrMohanBhagwat,1.51481579529702e+18,2022-04-15 04:00:04+00:00,0.0,0.0,103,20,0,Information,neutral
47,48,"BJP Govt does not calculate electoral benefits before public welfare: Piyush Goyal

Read @ANI Story | https://t.co/zyCxPfyA63
#BJP #publicwelfare #PiyushGoyal https://t.co/ZxaHnjN3Lr",ani_digital,https://www.aninews.in/news/national/politics/bjp-govt-does-not-calculate-electoral-benefits-before-public-welfare-piyush-goyal20220413225503/,yes,yes,BJP publicwelfare PiyushGoyal,ANI,1.51433964901541e+18,2022-04-13 20:28:02+00:00,-0.2924,0.066666666666667,101,20,21,Information,neutral
48,49,"So, what can those of us abroad (i.e., not in India) do about rising Hindu nationalist violence in India, some of it state-sponsored?

Learn about it.
Talk about it.
Criticize it.

#Hindutva #Hindunationalism #BJP #Modi #violence #religiousfreedom #India",AudreyTruschke,,no,no,Hindutva Hindunationalism BJP Modi violence religiousfreedom India,,1.51459158752701e+18,2022-04-14 13:09:08+00:00,-0.8957,0.0,105,44,0,Misinformation,negative
49,50,"#Delhi | Indian Youth Congress staged a protest outside Union Home Minister Amit Shah's residence against #Karnataka #BJP Minister #KSEshwarappa over his alleged involvement in the death case of Contractor Santosh Patil. 
@IYC #TV9News https://t.co/McvS5odjXn",tv9gujarati,,no,yes,Delhi Karnataka BJP KSEshwarappa TV9News,IYC,1.51421201728002e+18,2022-04-13 12:00:52+00:00,-0.7096,0.075,246,83,2,Information,negative
50,51,"Social media handles campaigning against #MaritalRape law troll #women activists, journalists; call for dramatic #MarriageStrike by men. Many are @BJP4India supporters, #BJP leaders follow some of these accounts, finds @Samriddhi0809  

https://t.co/iSOMtM93sS",Article14live,https://article-14.com/post/inside-the-online-ecosystem-of-misogyny-that-campaigns-against-a-law-to-punish-men-for-raping-their-wives--6258d75247824,yes,no,MaritalRape women MarriageStrike BJP,BJP4India Samriddhi0809,1.51484547433071e+18,2022-04-15 05:58:00+00:00,0.4404,0.388888888888889,21,12,0,Information,positive
51,52,"Within a year of CM #BasavarajBommai's term, #Karnataka has seen a spike in communal incidents. Is #BJP favouring communal politics over caste politics... at least for the upcoming elections? 

A Narayana and @GauthamMachaiah share their inputs. https://t.co/ut4jcX0hfc",DeccanHerald,,no,yes,BasavarajBommai Karnataka BJP,GauthamMachaiah,1.51489561115768e+18,2022-04-15 09:17:13+00:00,0.5423,0.4,12,10,1,Information,positive
52,53,"Rohit Koshur (@RohitInExile) has just been released by the @PuneCityPolice .
#BJP is always with you, we are at your service, and will continue to raise our voices and act against every injustice. 
Honored to be mentored by a dynamic &amp; proactive leader like @Dev_Fadnavis  ji. https://t.co/cd1tMJpUZH",SidShirole,,no,yes,BJP,RohitInExile PuneCityPolice Dev_Fadnavis,1.51207587829738e+18,2022-04-07 14:32:37+00:00,0.7906,0.166666666666667,1136,266,26,Misinformation,positive
53,54,"Rupa Ganguly gives a wake-up call to the people of West Bengal over the Nadia rape case, asks ‘how can this go on?’

#BJP #WestBengal #NadiaRapeCase 
https://t.co/7WtgPjvWrh",eOrganiser,https://organiser.org/2022/04/13/76369/bharat/rupa-ganguly-gives-a-wake-up-call-to-the-people-of-west-bengal-over-the-nadia-rape-case-asks-how-can-this-go-on/,yes,no,BJP WestBengal NadiaRapeCase,,1.51422754160706e+18,2022-04-13 13:02:33+00:00,-0.6908,0.0,37,24,0,Information,negative
54,55,"Glimpses of #SthapnaDiwas celebrations in Mumbai yesterday, as we all joined with @BJP4Mumbai karyakartas with @MPLodha ji, @AshishShelar, Kalidas Kolambkar ji, @NiteshNRane, @CaptTamilSelvan &amp; other leaders.
#BJPFoundationDay #BJP #Maharashtra #Mumbai #family https://t.co/VSkblsrU9r",Dev_Fadnavis,,no,yes,SthapnaDiwas BJPFoundationDay BJP Maharashtra Mumbai family,BJP4Mumbai MPLodha ashishshelar NiteshNRane CaptTamilSelvan,1.51207913045132e+18,2022-04-07 14:45:32+00:00,0.0,0.375,1371,293,83,Information,neutral
55,56,"Politics is strange.
This is @RSSorg holding a morning shakha in Delhi on #AmbedkarJayanti 
And here's a quote from Dr #Ambedkar :
""Though I was born a Hindu, I solemnly assure you that I will not die as a Hindu.”
This is co-option and appropriation at work. 
#RSS https://t.co/M4Xc1tFe35",madversity,,no,yes,AmbedkarJayanti Ambedkar RSS,RSSorg,1.51452913883241e+18,2022-04-14 09:00:59+00:00,0.6753,0.15,53,13,14,Information,positive
56,57,"RSS doesn't discriminate, Gadkari once told Ratan Tata at hospital inauguration

Read @ANI Story | https://t.co/Ln1C43Y21v
#RSS #RatanTata #NitinGadkari https://t.co/pVByLNgEgj",ani_digital,https://www.aninews.in/news/national/general-news/rss-doesnt-discriminate-gadkari-once-told-ratan-tata-at-hospital-inauguration20220415010425/,yes,yes,RSS RatanTata NitinGadkari,ANI,1.51469404045301e+18,2022-04-14 19:56:15+00:00,0.0,0.0,258,23,9,Information,neutral
57,58,"DH Speak Out |

#MohanBhagwat #RSS #AkhandBharat #BJP #DHSpeakOut #DeccanHerald #RSSChief @DrMohanBhagwat https://t.co/Mer2M7xoNN",DeccanHerald,,no,yes,MohanBhagwat RSS AkhandBharat BJP DHSpeakOut DeccanHerald RSSChief,DrMohanBhagwat,1.51481579529702e+18,2022-04-15 04:00:04+00:00,0.0,0.0,104,20,0,Information,neutral
58,59,"#Opinion | ""The 'Dindi Satyagraha' was Hedgewar’s greatest success before establishing the #RSS. On a few occasions, he played drums himself outside mosques when professional drumbeaters demurred because of security risks,"" writes @NilanjanUdwin.
https://t.co/B2Q6KX6pFv",TheQuint,https://www.thequint.com/voices/opinion/ram-navami-clashes-rss-the-century-old-history-of-violent-processions,yes,no,Opinion RSS,NilanjanUdwin,1.51489803609425e+18,2022-04-15 09:26:51+00:00,0.891,0.25,9,5,1,Misinformation,positive
59,60,"BJP is doing Institutional capture in India. Modi is doing it with the help of RSS: Congress MP @manickamtagore

#RSS #Politics #ReporterDiary

(@Supriya23bh) https://t.co/yLAlYxIj0r",IndiaToday,,no,yes,RSS Politics ReporterDiary,manickamtagore Supriya23bh,1.51275449743691e+18,2022-04-09 11:29:12+00:00,0.4019,0.0,155,26,7,Information,positive
60,61,"From ATX to Dallas, I’m grinding! I was elated to jump off my flight and have a moment out to support our @DallasWings! I’m looking forward to the season! #congress https://t.co/10X4RHu0UA",JasmineForUS,,no,yes,congress,DallasWings,1.51479173999897e+18,2022-04-15 02:24:28+00:00,0.8306,0.0,58,11,1,Misinformation,positive
61,62,"Youth #Congress protests outside #AmitShah's Delhi residence, seeks #Eshwarappa's sacking

https://t.co/lBaGdhIGLI",ZeeNewsEnglish,https://zeenews.india.com/india/karnataka-contractor-death-youth-congress-protests-outside-amit-shahs-delhi-residence-seeks-eshwarappas-sacking-2453380.html,yes,no,Congress AmitShah Eshwarappa,,1.51420802501111e+18,2022-04-13 11:45:00+00:00,-0.2263,0.05,195,85,1,Information,neutral
62,63,"#AajKiBaat | Fresh videos show, riots using petrol bombs were pre-planned in Khargone, MP, Hindu homes were targeted by mobs

#KhargoneRiot #KhargoneUnseenVideos #MP #Congress https://t.co/dQDLpg2CkU",indiatvnews,,no,yes,AajKiBaat KhargoneRiot KhargoneUnseenVideos MP Congress,,1.51465668078486e+18,2022-04-14 17:27:48+00:00,-0.25,0.5,7,10,1,Information,neutral
63,64,"Congress demands Eshwarappa's arrest over K'taka contractor death, demands FIR to be lodged on corruption charges

Read @ANI Story | https://t.co/JYYa9sO53B
#KarnatakaContractorDeath #Congress #Eshwarappa https://t.co/aaA0rQTTLf",ani_digital,https://www.aninews.in/news/national/general-news/congress-demands-eshwarappas-arrest-over-ktaka-contractor-death-demands-fir-to-be-lodged-on-corruption-charges20220415070927/,yes,yes,KarnatakaContractorDeath Congress Eshwarappa,ANI,1.5148003634212e+18,2022-04-15 02:58:44+00:00,-0.8126,0.0,80,9,6,Misinformation,negative
