ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
15,This is fascism.. Shocking how hate can change an entire nation into blood thirsty zombies…No reasoning can change them despite education.. #India #Muslim. https://t.co/UIHLrZdq4s,Wabbasi007,https://twitter.com/ranaayyub/status/1513863884171481090,yes,no,India Muslim,,1.51402314477589E+018,2022-04-12 23:30:21+00:00,-0.7506,0.841666666666667,204,76,12,Misinformation,negative
16,"#FIR against 8 people 4 destroying water melons of #Muslim pushcart vendors infront of Anjaneya temple in #Dharward #Karnataka. No arrests yet. 
#sriramsene members who destroyed the fruits claim they had warned them 2 move out. @hd_kumaraswamy slams the state govt,demands action https://t.co/v5e4R4pGha",KeypadGuerilla,,no,yes,FIR Muslim Dharward Karnataka sriramsene,hd_kumaraswamy,1.51282614999854E+018,2022-04-09 16:13:55+00:00,-0.7575,0.05,434,236,26,Misinformation,negative
17,"#OurLondonFamily Act is exactly what the #Muslim community has been calling for. Racism &amp; Islamophobia are on the rise. 1000s have signed petitions, sent emails &amp; advocated for the government to go beyond words to action. But Doug Ford is refusing to move the bill forward. https://t.co/pEu9f83nxQ",PeggySattlerNDP,,no,yes,OurLondonFamily Muslim,,1.5147392045085E+018,2022-04-14 22:55:43+00:00,-0.7269,0.175,3,5,1,Information,negative
18,"The man in the video fears no punishment as he announces that he will ₹@pe #Muslim women. Those who view threats of violence against #Muslims as ""diversionary tactics"" do not know the Sangh's history. Attacking Muslims is their PRIMARY brief. #LestWeForget #ArrestBajrangMuni https://t.co/GcOD100xtd",annavetticad,https://twitter.com/zoo_bear/status/1512036559960248323,yes,no,Muslim Muslims LestWeForget ArrestBajrangMuni,pe,1.5123774503782E+018,2022-04-08 10:30:57+00:00,-0.8771,0.416666666666667,253,176,14,Misinformation,negative
19,"A new avatar of jihad has come to light, which shocked everyone in #TamilNadu. An adopted #Muslim father and his two sons are arrested for raping a 17-year-old college-going girl for more than three years.  #Jihad
https://t.co/WhNvkQuqy5",eOrganiser,https://organiser.org/2022/04/08/75639/bharat/foster-muslim-father-and-brothers-arrested-for-sexually-assaulting-an-adopted-17-year-old-girl/,yes,no,TamilNadu Muslim Jihad,,1.51260370365574E+018,2022-04-09 01:30:00+00:00,-0.8807,0.613636363636364,92,84,4,Misinformation,negative
20,"So Muzlims can ‘provoke’ Hindus by shouting 5 times a day, 365 days a year from the loudspeakers that ‘there is no God but Ola’, but Hindus can’t play music and shout #JaiShreeRam once a year for #RamNavami in a Hindu majority country?",ShefVaidya,,no,no,JaiShreeRam RamNavami,,1.51353053069163E+018,2022-04-11 14:52:53+00:00,0.4005,0,27904,8159,762,Information,positive
21,"Sending my love &amp; best wishes to all in the world celebrating Rama Navami. #JaiShreeRam! May our love for God and others shine brightly in our heart, and let that light illuminate the world bringing peace and happiness to all.",TulsiGabbard,,no,no,JaiShreeRam,,1.51340288407899E+018,2022-04-11 06:25:39+00:00,0.9873,0.533333333333333,29478,5125,659,Misinformation,positive
22,"Warmest wishes to all on the divine occasion of #RamNavami No matter how adverse the circumstances, keep the mind stable and calm, everything is changing in the flow of time! #JaiShreeRam 

जय श्री राम 🚩 https://t.co/5nvMnyUt0O",kkundrra,,no,yes,RamNavami JaiShreeRam,,1.51304401052026E+018,2022-04-10 06:39:37+00:00,0.8449,0.75,11531,3322,710,Misinformation,positive
23,On the auspicious occasion of #RamaNavami .My SandArt with message #HappyRamNavami at Puri beach in Odisha. #JaiShreeRam 🙏 https://t.co/ZG92Ub7ZNl,sudarsansand,,no,yes,RamaNavami HappyRamNavami JaiShreeRam,,1.51299023820067E+018,2022-04-10 03:05:57+00:00,0,0,29835,3050,310,Information,neutral
24,Being a part of the protest against the attempts of  @tnhrcedept to unethical take over Ayodhya mandapam at Chennai. #DMK upset over fact that @BJP4TamilNadu won this corporators ward taken to this unprecedented dirty move. We shall fight! #JaiShreeRam https://t.co/yh2HPgA3j7,VinojBJP,,no,yes,DMK JaiShreeRam,tnhrcedept BJP4TamilNadu,1.51340382224841E+018,2022-04-11 06:29:23+00:00,-0.8398,0.85,1129,313,29,Misinformation,negative
25,"On this auspicious day of Shri Rama Navami PM Shri @narendramodi Ji will dedicate the world's tallest 161 feet Panchamuhkhi Hanuman Statute built in Bidanagere village of Tumkur district in Karnataka through virtual platform.

@BSBommai

#RamaNavami #JaiShreeRam https://t.co/ui9n7aWVEP",mla_sudhakar,,no,yes,RamaNavami JaiShreeRam,narendramodi BSBommai,1.5129975068585E+018,2022-04-10 03:34:50+00:00,0,0,685,53,15,Information,neutral
26,"Adani Ambanis Wealth Manager @narendramodi is busy making them THE RICHEST in the world.

Rest of the India can #JaiShreeRam and perish! #FuelPriceHike https://t.co/UzV8FR4yXr",isai_,,no,yes,JaiShreeRam FuelPriceHike,narendramodi,1.51229138463126E+018,2022-04-08 04:48:57+00:00,0.8236,0.3,108,62,5,Misinformation,positive
27,Wishing everyone a veryyyy Happy Ram Navami !!!! 💛 #JaiShreeRam 🧡 https://t.co/VMYDCQuAJS,AanchalOfficial,,no,yes,JaiShreeRam,,1.51313242023667E+018,2022-04-10 12:30:56+00:00,0.9448,1,884,34,24,Misinformation,positive
28,"Hindu Temple Trust TTD funding a secular event for #AmbedkarJayanti ? Why?

Bhimrao himself has been very unkind to Hinduism. But what is more ironic is the speaker at the event Aruna is a Christian and Rabid Hindu Hater.

What is happening in my ancestral temple is beyond me. https://t.co/gBFUguMIGy",arunpudur,,no,yes,AmbedkarJayanti,,1.51457764546357E+018,2022-04-14 12:13:44+00:00,-0.7224,0.425,179,70,2,Information,negative
29,"Islam is caricatured as violent, while Hinduism stereotyped as passive and humane. 

However, a closer look at India demystifies these stereotypes and reveals how a Hindutva regime has disfigured Hinduism to inflict terror and  mass violence.",KhaledBeydoun,,no,no,,,1.51481527155428E+018,2022-04-15 03:57:59+00:00,-0.9153,0.95,515,131,67,Misinformation,negative
30,"Hindutva hates Islam.
Hinduism respects Islam.

That's the difference!",SalmanNizami_,,no,no,,,1.51420591299482E+018,2022-04-13 11:36:36+00:00,-0.2244,0,4874,707,478,Information,neutral
31,Your knowledge of International Relations is worse than your oxymoronic “Ambedkar &amp Gandhi’s view of Hinduism”. https://t.co/ATS4lZmlqj ,Iyervval,https://twitter.com/RoKhanna/status/1513914123758747660,yes,no,,,1.51428356307571E+018,2022-04-13 16:45:10+00:00,-0.4767,0.3,652,116,10,Information,negative
32,"As the leadership of Churches in India remains in the hands of upper caste Christians, and they also claim the caste ancestry, situation for the lower caste remains the same with caste subjugation continuing for them even after conversion from Hinduism to Christianity.",Profdilipmandal,,no,no,,,1.51483640493684E+018,2022-04-15 05:21:57+00:00,-0.296,0.0625,166,46,4,Information,neutral
33,"“If Hindu Raj (#HinduRashtra) does become a fact, it will, no doubt, be the greatest calamity for this country. Hinduism is a menace to liberty, equality and fraternity. On that account it is incompatible with democracy. Hindu Raj must be prevented at any cost.”- #Ambedkar https://t.co/emvz7iAwZo",ambedkariteIND,,no,yes,HinduRashtra Ambedkar,,1.51443183260281E+018,2022-04-14 02:34:20+00:00,0.7657,1,156,25,3,Misinformation,positive
34,"Shourie: Hinduism was a religion all about the inner search, in which the only criterion was direct spiritual experience. It’s being reduced to beating up a [Muslim] bangle seller and feeling proud. What is happening now will be the end of Hinduism as a great spiritual tradition.",dhume,,no,no,,,1.51462819348715E+018,2022-04-14 15:34:36+00:00,0.6908,0.511904761904762,86,20,42,Information,positive
35,"In Hinduism, the lower castes accept the leadership of Brahmins because in Hinduism, Brahmins have been ordained the higher position. But upper caste Christians don’t have this superiority sanctioned by their religion.",Profdilipmandal,,no,no,,,1.51484152512074E+018,2022-04-15 05:42:18+00:00,0.5893,0.25,79,21,1,Information,positive
36,… situation for the lower caste remains the same with caste subjugation continuing for them even after conversion from Hinduism to Christianity.,Profdilipmandal,,no,no,,,1.514841510751E+018,2022-04-15 05:42:15+00:00,-0.296,0.125,82,18,1,Information,neutral
37,"“I started reading Ambedkar … and just juxtapose them: how Dr Ambedkar was saying we have to annihilate caste altogether, whereas Gandhi was like if you annihilate caste, you annihilate Hinduism”: Ọbádélé Kambon.
 
From 2019, @sagar_reporter interviews: https://t.co/xJBrNf5yod",thecaravanindia,http://bit.ly/31CkpEE,yes,no,,sagar_reporter,1.51430994771821E+018,2022-04-13 18:30:00+00:00,0.3612,0,84,36,1,Information,positive
38,"So he was clear Hinduism is not going to harm India though Islam certainly would.

That apart, Ambedkar himself acknowledged Hindus are open to reforms though not the Muslims.
@Narrative317 Islam has one book, Hindus have so many texts.",Aabhas24,,no,no,,Narrative317,1.51486341434608E+018,2022-04-15 07:09:17+00:00,0.7972,0.488690476190476,41,11,3,Misinformation,positive
39,Hinduism respects all religions 🙏🏼 https://t.co/eDjfbj7bUi,ManojMehtamm,https://twitter.com/salmannizami_/status/1514205912994820102,yes,no,,,1.5142682073218E+018,2022-04-13 15:44:09+00:00,0.3182,0,129,33,8,Information,neutral
40,"This painting of Maharaja Ranjeet Singh worshipping Devi Durga with his grandson Navnihal Singh is a rare work of art that show that how close the connections of Hinduism and Sikhism are.
At the National Museum Delhi. 

@LostTemple7 https://t.co/VcwoDxC7y3",monidipadey,,no,yes,,LostTemple7,1.5137174605994E+018,2022-04-12 03:15:40+00:00,0.3818,0.9,3991,913,46,Information,positive
41,"Received another video from Ashraf Nagar Kasba - Islamic flag being pulled out to be replaced with a bhagwa flag (Gujarat)

Sheer fanaticism in the name of Hinduism &amp; the video says - 'Proud to be Hindu' 

#IndianMuslimGenocideAlert 
#IndianMuslimsUnderAttack 
#RamNavamiViolence https://t.co/oWTHezp37Q",tarushi_aswani,,no,yes,IndianMuslimGenocideAlert IndianMuslimsUnderAttack RamNavamiViolence,,1.51415900402858E+018,2022-04-13 08:30:12+00:00,0.4767,0.875,338,266,15,Information,positive
42,"This fraud &amp; criminal disguised as a seer has been giving open calls of violence against Muslims &amp; rape threats to Muslim women on the name of Hinduism.

He should be jailed for trying to instigate violence and also sacrilege, for trying to defame Hinduism! #ArrestBajrangMuni https://t.co/pppF6mLU0o",GauravPandhi,,no,yes,ArrestBajrangMuni,,1.51260829001797E+018,2022-04-09 01:48:13+00:00,-0.98,0.525,551,282,25,Misinformation,negative
43,Jihad Murderer Tells Jury He’s a ‘Moderate Muslim’ https://t.co/jc9C7WnBlE https://t.co/erj0UmKB0r,jihadwatchRS,https://wp.me/p4hgqZ-14oS,yes,yes,,,1.51463464111806E+018,2022-04-14 16:00:13+00:00,-0.6808,0.7,1840,777,82,Information,negative
44,Nigeria: Highest number of Islamic State jihad attacks in the world  https://t.co/nRKnV7zYvr https://t.co/sOZwKZt6i5,jihadwatchRS,https://wp.me/p4hgqZ-14nn,yes,yes,,,1.51457423422752E+018,2022-04-14 12:00:11+00:00,-0.3818,0,386,284,15,Information,negative
45,"In reality, Muslim rule in India was appallingly brutal. As Hindus were not ""people of the book,"" they were often slaughtered wholesale, with thousands of temples destroyed. Get the full shocking story in ""The History of Jihad"": https://t.co/vgXpe4c8Lw https://t.co/TnBZTtZgyK",jihadwatchRS,https://www.amazon.com/dp/1682616592/ref=sr_1_1?ie=UTF8&qid=1520858729 https://twitter.com/fahmi_jaradat/status/1514611045628735501,yes,no,,,1.51461140216136E+018,2022-04-14 14:27:53+00:00,-0.9186,0.85,503,234,21,Misinformation,negative
46,"“End the Naukri Jihad”

Hate mongers protest Muslim students getting job. https://t.co/qAfVvKzVsJ",alishan_jafri,,no,yes,,,1.51490738320136E+018,2022-04-15 10:04:00+00:00,-0.6908,0.9,387,207,21,Information,negative
47,"In 2010, V S Achuthanandan warned Kerala about #LoveJihad. Just 2 days ago, former MLA George M Thomas also warned about it. Both are from CPI(M). And yet the party blames BJP &amp; Pala Bishop for raising concerns over this practice! Why? #FactCheck

https://t.co/3psszFddWl",PanickarS,https://economictimes.indiatimes.com/news/politics-and-nation/kerala-cm-criticised-for-speaking-out-against-love-jihad/articleshow/6221406.cms,yes,no,LoveJihad FactCheck,,1.51443074152602E+018,2022-04-14 02:30:00+00:00,-0.5411,0,304,77,10,Information,negative
48,"On his birth anniversary, read Dr Ambedkar's views on Islam and Muslims in India #archives  https://t.co/WEa3PIFNqB",OpIndia_com,https://www.opindia.com/2021/10/dr-br-ambedkar-babasaheb-views-on-islam-muslims-india-hindu-majority-jihad-dalits-buddhism/,yes,no,archives,,1.51449114224239E+018,2022-04-14 06:30:00+00:00,0,0,151,59,3,Information,neutral
49,Trump's PAC just sent out an email with a NYT article about a wind energy company having to pay $150 million for killing eagles. The windmill jihad continues apace. https://t.co/uX8edT9Un0,jdawsey1,https://www.nytimes.com/2022/04/10/us/bald-eages-dead-wind-farms.html?utm_medium=email&utm_source=ncl_amplify&utm_campaign=20220413-icymi_wind_energy_company_to_pay_8_million_in_killings_of_150_eagles&utm_content=ncl-kxrVbhfKGV&_nlid=kxrVbhfKGV&_nhids=Kz8kC1dw,yes,no,,,1.51434658844087E+018,2022-04-13 20:55:36+00:00,-0.5719,0,57,25,21,Information,negative
50,"The racist @EmmanuelMacron interior ministry even argued that when French Muslims use the French word ""effort"" (which means the same as in English), they actually mean ""jihad,"" which therefore supposedly means they might set off bombs. Incredible stuff, but real. https://t.co/S6iD2ZFMRN",AliAbunimah,,no,yes,,EmmanuelMacron,1.51464395927605E+018,2022-04-14 16:37:15+00:00,-0.5023,0.2875,28,19,1,Information,negative
51,"2. “The way you protect yourself from coronavirus, you have to protect yourself from them. Some Salman will become Suresh, some Rehman will become Ramesh, and then they trap our women in love jihad."" 

https://t.co/a1m5NA4ohv",alishan_jafri,,no,yes,,,1.51448667468787E+018,2022-04-14 06:12:15+00:00,0.7964,0.6,68,25,1,Misinformation,positive
52,"Ragini Tiwari who led mob at Maujpur during Delhi riots &amp; pelted stones is also seen in teh video shouting ""Naukri Jihad band karo"" 

Via: @alishan_jafri https://t.co/TA7geFGSL2",Samriddhi0809,,no,yes,,alishan_jafri,1.51492553014277E+018,2022-04-15 11:16:06+00:00,-0.5106,0,66,30,6,Information,negative
53,"This man is VHP leader Rajesh Awasthi. @betwasharma has extensively reported on him.

Her report can be read here: https://t.co/Fe53WsxJXE https://t.co/D3675xWONp https://t.co/pNONCDRQoC",kaushikrj6,https://theintercept.com/2021/07/03/love-jihad-law-india/ https://twitter.com/alishan_jafri/status/1514498559546048514,yes,yes,,betwasharma,1.51452228171579E+018,2022-04-14 08:33:45+00:00,0,0.333333333333333,44,31,2,Information,neutral
54,"Blood of Palestinian martyrs will spark off full-scale confrontation with Israel, Islamic Jihad says

https://t.co/wqXMd1IylH",PressTV,"https://www.presstv.ir/Detail/2022/04/14/680319/Blood-of-fallen-Palestinians-will-lead-to-full-scale-confrontation-with-Israel,-Islamic-Jihad-says",yes,no,,,1.51466981765502E+018,2022-04-14 18:20:00+00:00,-0.1027,0,27,11,1,Information,neutral
55,Hindutva radicalized police officers and/or local security personnel beat this elderly Muslim man as he picks up milk during iftar in Khargone. https://t.co/CcH1iDk5rR,cjwerleman,,no,yes,,,1.51464618607001E+018,2022-04-14 16:46:06+00:00,0.34,0,4952,3513,411,Information,positive
56,"Hindu mobs attack Muslim-owned properties in several cities across India during the festival of Ram Navami, according to local reports. The violence left at least one person dead, with shops and mosques reportedly desecrated. https://t.co/G1SnU06ePU",MiddleEastEye,,no,yes,,,1.51430994696321E+018,2022-04-13 18:30:00+00:00,-0.8519,0.16,7609,4505,668,Misinformation,negative
57,"I am deeply concerned about images, videos, and targeted threats of violence against the Muslim community in India. 

The Modi govt must stop stoking anti-Muslim sentiment.

Human rights must be protected.

Canada must play a strong role in working towards peace everywhere.",theJagmeetSingh,,no,no,,,1.51430649708538E+018,2022-04-13 18:16:18+00:00,0.4588,0.411111111111111,34879,9706,5778,Information,positive
58,"Israeli forces appear to break the windows of the holy Al-Qibli Mosque during a surprise raid on Al-Aqsa early Friday morning, during which tear gas was fired and Muslim worshippers detained and apprehended inside the mosque https://t.co/c1rI6ctUtj",MiddleEastEye,,no,yes,,,1.51486535584338E+018,2022-04-15 07:17:00+00:00,-0.5267,0.3,500,642,24,Information,negative
59,"Police in Gujarat, India bulldozing Muslim properties accusing them of instigating an anti-Muslim riot! No law, no Justice, no logic. https://t.co/fu997Yx0pm",ashoswai,,no,yes,,,1.51492315629271E+018,2022-04-15 11:06:41+00:00,-0.7777,0,3775,1943,153,Misinformation,negative
60,"When is Karnataka govt &amp; Police going to take action against such hate speeches. 
""If U dont warn ur youths &amp; don't stop them.. If our 1 girl is taken away, then 10 of your muslim women will be taken away from you.""
~ Sri RamSene Chief Pramod Mutalik
C'C: @DgpKarnataka @BSBommai https://t.co/I5MTyk6QHG",zoo_bear,,no,yes,,DgpKarnataka BSBommai,1.51459908814616E+018,2022-04-14 13:38:57+00:00,-0.3645,0.5,3680,2240,352,Information,negative
61,"In UP, India, two minor Muslim boys, aged 16 &amp; 17, were kept under police lock-up and charged with criminal cases for listening to Pakistani music in their home!",ashoswai,,no,no,,,1.5148909924067E+018,2022-04-15 08:58:52+00:00,-0.6696,0.383333333333333,7195,2626,401,Information,negative
62,"What happened when Mumbai cried?
On 12th March 1993, when Mumbai was shaken with 12 bomb blasts, @PawarSpeaks ji invented a 13th blast in a Muslim area. 

Instead of law and order, appeasement was his first priority.
https://t.co/mcg7kZkDeV",Dev_Fadnavis,https://indiatoday.in/fyi/story/bombay-blast-sharad-pawar-lied-983107-2017-06-16,yes,no,,PawarSpeaks,1.51451338816841E+018,2022-04-14 07:58:24+00:00,-0.7269,0.166666666666667,5199,2077,173,Information,negative
63,"Nothing to do with Unemployment, illiteracy or Poverty. 
People in whatsapp groups with their School friends, College friends, Office Collegues, Colony group etc would know that most educated guys employed in top MNCs would regularly share Islamophobic &amp; anti-Muslim content. https://t.co/022VudQbY8",zoo_bear,https://twitter.com/MFuturewala/status/1514133267712151563,yes,no,,,1.51435047746228E+018,2022-04-13 21:11:03+00:00,0.0258,0.358974358974359,6666,1953,236,Information,neutral
64,"BREAKING 🚨 Israeli soldiers are currently invading Al Aqsa mosque, firing bullets, sound grenades, and tear gas at Palestinians.

#AlAqsaUnderAttack #FreePalestine https://t.co/MjW2biQX0n",Muslim,,no,yes,AlAqsaUnderAttack FreePalestine,,1.51481858870353E+018,2022-04-15 04:11:10+00:00,-0.34,0.4,2868,2238,149,Information,negative
65,"India: Muslim mobs attack Hindus in several states during Ram Navami, 16-year-old Hindu boy fights for his life https://t.co/JyxqvbiMxw https://t.co/KVVJetmShj",jihadwatchRS,https://wp.me/p4hgqZ-14qU,yes,yes,,,1.51469503740535E+018,2022-04-14 20:00:13+00:00,-0.7003,0,2248,1263,59,Information,negative
66,"Nazis were marking Jew houses with Yellow Stars, India's Hindu Right Wing Regime demolishing Muslim houses with Yellow Bulldozers! https://t.co/hTtc7gA7iz",ashoswai,https://www.bbc.com/news/world-asia-india-61042315,yes,no,,,1.51489489453543E+018,2022-04-15 09:14:22+00:00,0,0.178571428571429,755,325,17,Information,neutral
67,"Amnesty International condemns the demolition of Muslim owned homes in Khargone, India. https://t.co/ByMfW17mRR",cjwerleman,,no,yes,,,1.51470466750653E+018,2022-04-14 20:38:29+00:00,-0.5106,0,2226,1036,60,Information,negative
68,Indian police attacking an elderly Muslim man.   This is state-sponsored Hindtuva terror. https://t.co/rkrbgpRdAF,KhaledBeydoun,https://twitter.com/arbabali_jmi/status/1514674610393944066,yes,no,,,1.51470611295989E+018,2022-04-14 20:44:13+00:00,-0.7506,0,1595,722,78,Misinformation,negative
69,"1. CAA was never anti-Muslim
2. Farm laws were never anti farmers.
3. Recent riots victims are Hindus.

But local leftist ecosystem and their foreign Masters have successfully changed the narrative in the above first two points.

Now they are trying in the third one too!",vijaygajera,,no,no,,,1.51457943353712E+018,2022-04-14 12:20:51+00:00,0.5062,0.294791666666667,2968,1168,29,Information,positive
70,"So Muzlims can ‘provoke’ Hindus by shouting 5 times a day, 365 days a year from the loudspeakers that ‘there is no God but Ola’, but Hindus can’t play music and shout #JaiShreeRam once a year for #RamNavami in a Hindu majority country?",ShefVaidya,,no,no,JaiShreeRam RamNavami,,1.51353053069163E+018,2022-04-11 14:52:53+00:00,0.4005,0,27905,8159,762,Information,positive
71,"Sending my love &amp; best wishes to all in the world celebrating Rama Navami. #JaiShreeRam! May our love for God and others shine brightly in our heart, and let that light illuminate the world bringing peace and happiness to all.",TulsiGabbard,,no,no,JaiShreeRam,,1.51340288407899E+018,2022-04-11 06:25:39+00:00,0.9873,0.533333333333333,29480,5126,659,Misinformation,positive
72,"Warmest wishes to all on the divine occasion of #RamNavami No matter how adverse the circumstances, keep the mind stable and calm, everything is changing in the flow of time! #JaiShreeRam 

जय श्री राम 🚩 https://t.co/5nvMnyUt0O",kkundrra,,no,yes,RamNavami JaiShreeRam,,1.51304401052026E+018,2022-04-10 06:39:37+00:00,0.8449,0.75,11532,3322,710,Misinformation,positive
73,On the auspicious occasion of #RamaNavami .My SandArt with message #HappyRamNavami at Puri beach in Odisha. #JaiShreeRam 🙏 https://t.co/ZG92Ub7ZNl,sudarsansand,,no,yes,RamaNavami HappyRamNavami JaiShreeRam,,1.51299023820067E+018,2022-04-10 03:05:57+00:00,0,0,29836,3050,310,Information,neutral
74,Being a part of the protest against the attempts of  @tnhrcedept to unethical take over Ayodhya mandapam at Chennai. #DMK upset over fact that @BJP4TamilNadu won this corporators ward taken to this unprecedented dirty move. We shall fight! #JaiShreeRam https://t.co/yh2HPgA3j7,VinojBJP,,no,yes,DMK JaiShreeRam,tnhrcedept BJP4TamilNadu,1.51340382224841E+018,2022-04-11 06:29:23+00:00,-0.8398,0.85,1129,313,29,Misinformation,negative
