,ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
13,14,President #Putin: The main goal of the West is not to help Ukraine. #Ukraine is just a means of reaching goals that have nothing to do with interests of 🇺🇦people. This is the problem and this is what determines the logic of #Russia’s actions in #Donbass and in Ukraine as a whole. https://t.co/6BvKOGEu8F,RussianEmbassy,,no,yes,Putin Ukraine Russia Donbass,,1.51456872516854E+018,2022-04-14 11:38:18+00:00,-0.2865,0.366666666666667,2007,707,514,Information,neutral
14,15,"📢 #ICC Prosecutor #KarimAAKhanQC meets with #Ukraine’s Prosecutor-General Iryna Venediktova in Kyiv, welcomes strong cooperation of Ukrainian authorities for independent ICC investigations ⬇️ 1/2 https://t.co/dwtqDEyhKO",IntlCrimCourt,,no,yes,ICC KarimAAKhanQC Ukraine,,1.51419087295032E+018,2022-04-13 10:36:51+00:00,0.7184,0.429166666666667,3032,864,66,Information,positive
15,16,"Every time I see new testimony on #Russia soldiers raping #Ukraine women, I hope for justice. In all honesty I don’t care how it’s served to these savages: in an international tribunal or by a Ukrainian bullet",lesiavasylenko,,no,no,Russia Ukraine,,1.5143406812795E+018,2022-04-13 20:32:08+00:00,0.5423,0.227272727272727,4542,717,167,Information,positive
16,17,16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body was found in #Bucha https://t.co/SdNS3TwOHG,lesiavasylenko,,no,yes,Russia Bucha,,1.51400942451125E+018,2022-04-12 22:35:50+00:00,-0.8481,0,15202,6354,1181,Misinformation,negative
17,18,"#Ukrainian intelligence reports that #Russia's leadership ordered to destroy any evidence of its army's crimes and therefore uses mobile crematoriums.

In particular, in #Mariupol 13 mobile crematoriums were recorded to carry out street cleansing of the bodies of dead civilians.",nexta_tv,,no,no,Ukrainian Russia Mariupol,,1.51415554262484E+018,2022-04-13 08:16:27+00:00,-0.6908,0.244444444444444,4013,1952,136,Information,negative
18,19,President #Putin: The main goal of the West is not to help Ukraine. #Ukraine is just a means of reaching goals that have nothing to do with interests of 🇺🇦people. This is the problem and this is what determines the logic of #Russia’s actions in #Donbass and in Ukraine as a whole. https://t.co/6BvKOGEu8F,RussianEmbassy,,no,yes,Putin Ukraine Russia Donbass,,1.51456872516854E+018,2022-04-14 11:38:18+00:00,-0.2865,0.366666666666667,2012,709,514,Information,neutral
19,20,#French presidential candidate Marine Le Pen said that she still considers #Crimea as a part of #Russia and does not regret the ban on visits to #Ukraine. https://t.co/ipun8ggmxf,nexta_tv,,no,yes,French Crimea Russia Ukraine,,1.51429379036172E+018,2022-04-13 17:25:48+00:00,0.6435,0,3486,1393,990,Information,positive
20,21,Another mass grave uncovered today in #Bucha. The East of #Ukraine also one total murder site. #Russia targets Ukrainians just because we are Ukrainian. This is called genocide. Not conflict between brotherly nations. We are 2 very different people with very different values,lesiavasylenko,,no,no,Bucha Ukraine Russia,,1.51433368930771E+018,2022-04-13 20:04:21+00:00,-0.5651,0.77,2826,759,69,Information,negative
21,22,If you buy from @LOCCITANE_UK please boycott their shops &amp online sales. The company is still operating in #russia. Same goes for @emirates (who I flew with all the time for Afghanistan). After seeing what I have in #Ukraine️ they now have blood on their hands. Pse RETWEET. 🙏🏼 ,PenFarthing,,no,no,Russia Ukraine,LOCCITANE_UK emirates,1.51456454671062E+018,2022-04-14 11:21:41+00:00,0,0.125,1760,1266,71,Information,neutral
22,23,"Reports of 🇷🇺 #Russia flagman ship cruiser “Moskva” hit by 🇺🇦 #Ukraine &amp; burning in Black Sea. If true, it would be an excellent (almost) instant karma. It’s the very ship to which 🇺🇦 marines told to go f-ck itself in the first day of the war.

#StandWithUkraine #ArmUkraineNow",olex_scherba,,no,no,Russia Ukraine StandWithUkraine ArmUkraineNow,,1.51432566941249E+018,2022-04-13 19:32:29+00:00,0.3818,0.563888888888889,8257,1636,201,Information,positive
23,24,"#Russia has already hijacked 500,000 Ukrainians. And it keeps on. History knows, 🇷🇺 doesn't allow the return of those it has forcibly sent to foreign, faraway lands. 
Imagine the entire population of Liverpool or the State of Wyoming, or the Staten Island are going through this.",AlexKhrebet,,no,no,Russia,,1.51426535211652E+018,2022-04-13 15:32:48+00:00,-0.1695,0.583333333333333,1720,611,34,Information,neutral
24,25,"Ex-Yukos owner Leonid Nevzlin, who emigrated from #Russia, shared unconfirmed insights from his sources in #Moscow.

According to him, #Putin arrested 20 generals. #Surkov is under house arrest, Dvorkovich is under criminal investigation. https://t.co/30FGJqYkvf",nexta_tv,,no,yes,Russia Moscow Putin Surkov,,1.51452543105939E+018,2022-04-14 08:46:15+00:00,-0.7906,0.275,1672,472,75,Misinformation,negative
25,26,"#Colombian authorities promise to help Western countries to partially or completely abandon imports of #Russian #oil, #coal and #gas, replacing them with Colombian ones. 
President Ivan #Duque has called the Russian invasion a #genocide. https://t.co/wWhBnF71bT",nexta_tv,,no,yes,Colombian Russian oil coal gas Duque genocide,,1.51447455746952E+018,2022-04-14 05:24:06+00:00,0.204,0.1,6610,732,96,Information,neutral
26,27,With the higher respect Mr President Biden this is #Genocide and the world has closed its eyes to the pain and suffering death and dismay that it is causing two innocent women children and the elderly #Tigray #Genocide please help the people who need it they don’t want guns peace https://t.co/KABY9e8flH,VincentCoyle1,https://twitter.com/edenbfkn/status/1513975193743593474,yes,no,Genocide Tigray Genocide,,1.51400559311108E+018,2022-04-12 22:20:36+00:00,0.0516,0.433333333333333,398,516,25,Information,neutral
27,28,I wish to thank everyone who has expressed solidarity with #Rwanda in this period of remembrance #Kwibuka28. We also take note of those who are intentionally ambiguous when referring to the #Genocide against the Tutsi.,Vbiruta,,no,no,Rwanda Kwibuka28 Genocide,,1.51467007931674E+018,2022-04-14 18:21:02+00:00,0.7506,0,392,140,5,Misinformation,positive
28,29,"On #genocide prevention, “Definition is held to be paramount, when the real issue is political will.” 

Clinton avoided calling Rwanda a genocide. Bush declared Darfur a genocide. 

But in both cases, the policy result was the same: the US did nothing. 

https://t.co/RNJq5nRyWN",astroehlein,https://foreignpolicy.com/2009/12/02/never-again/,yes,no,genocide,,1.51427695189215E+018,2022-04-13 16:18:53+00:00,-0.1779,0.175,72,39,7,Information,neutral
29,30,"There's an aspect of abject cruelty to cultural erasure by precisely those - @UNESCO - who are globally mandated to respect and protect cultural heritage.

Worse - in many ways - than the usual genocidal suspects, whose erasure comes as no surprise.

#Armenian #Genocide https://t.co/PvBGZBg9Av",ANCA_DC,https://twitter.com/GoTurkiye/status/1513819222773698564,yes,no,Armenian Genocide,UNESCO,1.5143840069718E+018,2022-04-13 23:24:17+00:00,-0.672,0.335714285714286,79,26,8,Information,negative
30,31,"French President Emmanuel #Macron declined Wednesday to repeat President Joe #Biden’s accusation that #Russia was carrying out “#genocide” against Ukrainians, warning that verbal escalations would not help end the war. https://t.co/pKLCtP3tFh",KyivPost,https://www.kyivpost.com/world/macron-urges-caution-after-biden-genocide-claim-against-russia.html,yes,no,Macron Biden Russia genocide,,1.51424767095671E+018,2022-04-13 14:22:32+00:00,-0.8611,0,86,27,43,Misinformation,negative
31,32,"I talked to @John_Hudson @washingtonpost about Biden accusing #Russia of ""#Genocide"" in #Ukraine (as did @JyShapiro). 

My main message: Don't ""waste time parsing the exact status of the atrocities"". Focus on preventing more killing. [1/3] https://t.co/dARYC9seRI",RichardGowan1,https://www.washingtonpost.com/nation/2022/04/13/macron-biden-ukraine-genocide/,yes,no,Russia Genocide Ukraine,John_Hudson washingtonpost JyShapiro,1.5145900889776E+018,2022-04-14 13:03:11+00:00,-0.6323,0.270833333333333,76,17,4,Information,negative
32,33,"#Genocide is a special crime that is well defined in international law. It is established by international courts and/or recognised by the @UN. Therefore, the genocide qualification should never be denied or used indiscriminately for diplomatic and geostrategic purposes. https://t.co/RipCev59It",onduhungirehe,,no,yes,Genocide,UN,1.51416432061101E+018,2022-04-13 08:51:20+00:00,0.4031,0.190476190476191,44,20,2,Information,positive
33,34,"It needs to be said, because the truth matters.  #Genocide https://t.co/ZQqTaNUOAV",NancyLeeGrahn,https://twitter.com/sfpelosi/status/1514018326950817793,yes,no,Genocide,,1.51402212435202E+018,2022-04-12 23:26:18+00:00,0.34,0,254,19,12,Information,positive
34,35,"The #ArmenianGenocideEducationAct - soon to be introduced in the US House - honors the legacies of three great humanitarians - strong, solitary voices against #Genocide - Ambassador Henry Morgenthau, Raphael Lemkin, and Ambassador John Marshall Evans.",ANCA_DC,,no,no,ArmenianGenocideEducationAct Genocide,,1.51401695609717E+018,2022-04-12 23:05:46+00:00,0.8934,0.741666666666667,91,21,6,Misinformation,positive
35,36,“The proposed #ArmenianGenocideEducationAct serves a crucial function to embed #Armenian #Genocide education across America… 1/2 https://t.co/aLXe8z4X7z,ANCA_DC,,no,yes,ArmenianGenocideEducationAct Armenian Genocide,,1.51439439534427E+018,2022-04-14 00:05:34+00:00,0,1,59,15,5,Information,neutral
36,37,⚡️Ukrainian Parliament recognized the actions committed by Russia during the war as #genocide of the Ukrainian people.,rustem_umerov,,no,no,genocide,,1.51465368038921E+018,2022-04-14 17:15:52+00:00,-0.4215,0,24,10,1,Information,negative
37,38,State backed #Muslim #genocide in #India https://t.co/9sT0mUhFOG,AniqaNisar,https://twitter.com/cjwerleman/status/1514397950339792898,yes,no,Muslim genocide India,,1.51444244362156E+018,2022-04-14 03:16:30+00:00,0.0258,0,21,11,11,Information,neutral
38,39,"Following up on this @washingtonpost story, it's really worth reading this @WordsAreDeeds piece @WPReview from last year: ""#Genocide designations aren't enough to stop mass atrocities."" [2/3] https://t.co/hCsOl5typh",RichardGowan1,https://www.worldpoliticsreview.com/articles/29938/genocide-designations-aren-t-enough-to-stop-mass-atrocities,yes,no,Genocide,washingtonpost WordsAreDeeds WPReview,1.51459065318279E+018,2022-04-14 13:05:26+00:00,0.4733,0.191666666666667,25,11,2,Information,positive
39,40,"#Macron 🇫🇷 refuses to label #Russia's 🇷🇺 #war a #genocide. How has #Ukraine 🇺🇦 reacted?

Hanna Shelest on why it rubbed her countrymen the wrong way. 

Full Show 📺➡️: https://t.co/hNGOCZP7E5 https://t.co/ElRzNxF0ay",F24Debate,https://f24.my/8YGz.t,yes,yes,Macron Russia war genocide Ukraine,,1.51467339100926E+018,2022-04-14 18:34:12+00:00,-0.7906,0.725,9,8,5,Misinformation,negative
40,41,"On what would have been the 83rd birthday of #SeamusHeaney, a ⁦recording of “The Cure at Troy” for ⁦@BBCr4today⁩ during the pandemic .. thought of it often in #Kyiv. #UkraineRussianwar ⁦@seamusheaneyest⁩ https://t.co/TzbZfbiwX1",bbclysedoucet,,no,yes,SeamusHeaney Kyiv UkraineRussianwar,BBCr4today seamusheaneyest,1.51430236574203E+018,2022-04-13 17:59:53+00:00,0,0,1763,468,60,Information,neutral
41,42,"⚡️ #Anonymous has targeted the Russian Ministry of Culture and obtained a whopping 446 GB worth of data - The cyberattack was carried out for #OpRussia.

Read: https://t.co/UMDrauqL5f

#Leaks #CyberAttack #UkraineRussianWar #Ukraine",HackRead,https://www.hackread.com/anonymous-hits-russian-ministry-of-culture-leaks-446gb-of-data/,yes,no,Anonymous OpRussia Leaks CyberAttack UkraineRussianWar Ukraine,,1.5139554156415E+018,2022-04-12 19:01:13+00:00,0.2263,0.05,1564,370,35,Information,neutral
42,43,"#BREAKING: #Saudi🇸🇦 King Salman instructed @KSRelief_EN to send medical and shelter aid worth $10 million dollars to #Ukrainian🇺🇦 #refugees.

#RefugeesWelcome #RefugeesNeedHelp #REFUGE
#UkraineRussia #ukranianrefugees @ZelenskyyUa #humanity #UkraineRussianWar #HumanRights https://t.co/MhoKFLnQdP",Salansar1,,no,yes,BREAKING Saudi Ukrainian refugees RefugeesWelcome RefugeesNeedHelp REFUGE UkraineRussia ukranianrefugees humanity UkraineRussianWar HumanRights,KSRelief_EN ZelenskyyUa,1.51422680464672E+018,2022-04-13 12:59:37+00:00,0.2263,0.05,75,48,3,Information,neutral
43,44,"US distinguishes between India, China over respective stands on Russia amid Ukraine crisis: Jaishankar

Read @ANI Story | https://t.co/NiQHoXlv2H
#IndiaUSTalks #UkraineRussianWar #UkraineCrisis #India #China #Russia https://t.co/9rwLLIkaBt",ani_digital,https://www.aninews.in/news/world/us/us-distinguishes-between-india-china-over-respective-stands-on-russia-amid-ukraine-crisis-jaishankar20220413232037/,yes,yes,IndiaUSTalks UkraineRussianWar UkraineCrisis India China Russia,ANI,1.51430889655883E+018,2022-04-13 18:25:50+00:00,-0.3182,0.1,153,27,5,Information,neutral
44,45,"Correcting the New York Times.
#Ukraine 
#UkraineRussianWar https://t.co/K6WL2IyPxo",LatuffCartoons,,no,yes,Ukraine UkraineRussianWar,,1.51403991979418E+018,2022-04-13 00:37:01+00:00,0,0.454545454545455,57,16,0,Information,neutral
45,46,"The #Ukrainian Army Has Hit The #Russian Cruiser Moskva With Neptune Missiles (Two Missiles Have Been Used), Causing Serious Damage To The Warship
ℹ️Source: Ukrainian media 

#UkraineWar #RussianUkrainianWar #UkraineRussianWar #Russia #Ukraine #Kyiv #mauripol #Moskvacruiser https://t.co/c0vCxJp21w",fatihartun,,no,yes,Ukrainian Russian UkraineWar RussianUkrainianWar UkraineRussianWar Russia Ukraine Kyiv mauripol Moskvacruiser,,1.51441941867106E+018,2022-04-14 01:45:00+00:00,-0.6369,0.333333333333333,23,7,4,Information,negative
46,47,"This used to be someone's kitchen. 
#Ukraine #UkraineRussianWar https://t.co/niDG5T4KmG",OstapYarysh,,no,yes,Ukraine UkraineRussianWar,,1.51213510804362E+018,2022-04-07 18:27:58+00:00,0,0,5401,1333,120,Information,neutral
47,48,"The Servant to the People - President Zelenskyy - meets EU Commission President @vonderleyen

 https://t.co/z5tsdnze0z #Ukraine #UkraineRussianWar #Zelenskyi",alemannoEU,,no,yes,Ukraine UkraineRussianWar Zelenskyi,vonderleyen,1.51247079658482E+018,2022-04-08 16:41:52+00:00,0,0,4738,1010,119,Information,neutral
48,49,@ZaidZamanHamid's account has been withheld in India in response to a legal demand. Learn more.,ZaidZamanHamid,https://support.twitter.com/articles/20169222,yes,no,,,1.5134506204303E+018,2022-04-11 09:35:21+00:00,0,0.35,748,337,81,Information,neutral
49,50,"This nurse describes how Russians came.
- To enter my home, you’ll have to kill me.
- Do you hide Nazis?
- Nazis? What do they look like?

#StandWithUkraine #StopPutinNOW #UkraineRussianWar #ArmUkraineNow https://t.co/f9PDXnuhVh",olex_scherba,,no,yes,StandWithUkraine StopPutinNOW UkraineRussianWar ArmUkraineNow,,1.51195346717004E+018,2022-04-07 06:26:11+00:00,-0.6641,0,1390,437,45,Information,negative
50,51,.. a message of thanks again for your kind comments about our BBC coverage from #Ukraine ..some of us have left for a little while but many great colleagues are still on the ground across #Ukraine and beyond. #UkraineRussianwar https://t.co/6HvzmlR8dh,bbclysedoucet,,no,yes,Ukraine Ukraine UkraineRussianwar,,1.51209802382798E+018,2022-04-07 16:00:36+00:00,0.8689,0.475,6811,226,172,Misinformation,positive
51,52,"This cat cat from #Borodianka barely made it: he was pulled out from under the broken concrete blocks.
We really hope his humans survived too.

#UkraineRussianWar #StandWithUkraine #StopRussianAggression https://t.co/PToRRiXopy",Gerashchenko_en,,no,yes,Borodianka UkraineRussianWar StandWithUkraine StopRussianAggression,,1.51180900531592E+018,2022-04-06 20:52:09+00:00,0.3597,0.25,1600,326,69,Information,positive
52,53,"Rural &amp; sub-urban areas of #Donetsk are completely devastated with lot of unexlpoded mines and bombs lying at many places.
#UkraineRussianWar https://t.co/D9DCi0Lo9q",neeraj_rajput,,no,yes,Donetsk UkraineRussianWar,,1.51446813139322E+018,2022-04-14 04:58:34+00:00,-0.8268,0.3,28,5,0,Misinformation,negative
53,54,"Today is 50 days since Russia’s invasion of #Ukraine began. Coming up at 0630 on @BBCBreakfast we’ll be discussing where it’s at now, what happens next and what prospects for peace. #UkraineRussianWar",FrankRGardner,,no,no,Ukraine UkraineRussianWar,BBCBreakfast,1.51447441105055E+018,2022-04-14 05:23:31+00:00,0.6908,0,35,5,5,Information,positive
54,55,"My fellow Russians

We've successfully completed the first stage in Ukraine

We lost the Battle of Kyiv
We didn't take Odesa
19,000 Russian soldiers died
That's more than in 10 yrs of Afghanistan
Our army is in full retreat

Stage 2 will be even more glorious

#UkraineRussianWar https://t.co/TZt0icudJT",tomiahonen,,no,yes,UkraineRussianWar,,1.51240100847492E+018,2022-04-08 12:04:34+00:00,0.2484,0.472222222222222,905,221,74,Information,neutral
